date,vines,tweets
2017-07-15,23185,174477
2017-07-16,22507,159230
2017-07-17,23580,169721
2017-07-18,22986,161175
2017-07-19,23022,167521
2017-07-20,23279,196204
2017-07-21,22334,156008
2017-07-22,22013,139816
2017-07-23,22823,139390
2017-07-24,23949,181660
2017-07-25,24071,208035
2017-07-26,23836,249993
2017-07-27,23026,225359
2017-07-28,23936,200192
2017-07-29,22421,193919
2017-07-30,23515,234043
2017-07-31,23397,341154
2017-08-01,23197,251315
2017-08-02,23934,242706
2017-08-03,24595,260199
2017-08-04,23959,247401
2017-08-05,22959,211100
2017-08-06,23770,203270
2017-08-07,23010,233920
2017-08-08,24614,241382
2017-08-09,23566,261277
2017-08-10,22375,247828
2017-08-11,21268,216814
2017-08-12,20489,168610
2017-08-13,21882,187584
2017-08-14,21820,209385
2017-08-15,22493,229101
2017-08-16,21822,234762
2017-08-17,20902,235535
2017-08-18,20670,207367
2017-08-19,21115,193044
2017-08-20,22273,239841
2017-08-21,21501,227828
2017-08-22,20797,203273
2017-08-23,22542,275949
2017-08-24,21756,268175
2017-08-25,20547,213718
2017-08-26,21311,249383
2017-08-27,21465,257193
2017-08-28,21556,199324
2017-08-29,20313,188269
2017-08-30,21136,227180
2017-08-31,22402,273350
2017-09-01,20437,245462
2017-09-02,20021,207468
2017-09-03,20650,222180
2017-09-04,21579,243149
2017-09-05,19839,238576
2017-09-06,19572,192938
2017-09-07,19914,214744
2017-09-08,19089,209378
2017-09-09,19629,187404
2017-09-10,21690,202470
2017-09-11,21087,190869
2017-09-12,19080,161660
2017-09-13,18854,141972
2017-09-14,19155,174718
2017-09-15,18897,207634
2017-09-16,20198,167207
2017-09-17,20831,187376
2017-09-18,20361,215988
2017-09-19,18859,222536
2017-09-20,20075,196868
2017-09-21,18689,170959
2017-09-22,17901,176595
2017-09-23,18150,152505
2017-09-24,19728,148669
2017-09-25,17730,130548
2017-09-26,18097,131652
2017-09-27,17515,166085
2017-09-28,17748,161816
2017-09-29,16614,130436
2017-09-30,18499,138007
2017-10-01,19080,154647
2017-10-02,17643,187739
2017-10-03,17884,219436
2017-10-04,17993,172558
2017-10-05,16977,137350
2017-10-06,17952,139683
2017-10-07,17085,134159
2017-10-08,19222,138802
2017-10-09,18593,153356
2017-10-10,17838,141047
2017-10-11,17109,166543
2017-10-12,17389,239868
2017-10-13,17367,141499
2017-10-14,18084,130553
2017-10-15,18365,127798
2017-10-16,16767,113269
2017-10-17,17911,150493
2017-10-18,17770,169372
2017-10-19,17477,134925
2017-10-20,17445,114515
2017-10-21,17027,118875
2017-10-22,19322,149882
2017-10-23,19001,139850
2017-10-24,18538,160180
2017-10-25,17674,148099
2017-10-26,17585,151840
2017-10-27,17873,147885
2017-10-28,17788,132448
2017-10-29,18264,174396
2017-10-30,17358,199346
2017-10-31,15907,147453
2017-11-01,16413,132118
2017-11-02,17366,178251
2017-11-03,17630,190640
2017-11-04,17171,151504
2017-11-05,18464,191621
2017-11-06,17234,167852
2017-11-07,16702,171196
2017-11-08,16704,212683
2017-11-09,16621,161030
2017-11-10,16989,166357
2017-11-11,16912,154320
2017-11-12,18131,272839
2017-11-13,17929,227245
2017-11-14,17667,217586
2017-11-15,17783,188700
2017-11-16,15399,120662
